gameweek,Points,Class
1,-2,Train
2,0,Train
3,0,Train
4,9,Train
5,9,Train
6,1,Train
7,2,Train
8,1,Train
9,1,Train
10,1,Train
11,2,Train
12,6,Train
13,6,Train
14,1,Train
15,1,Train
16,6,Train
17,1,Train
18,8,Train
19,2,Train
20,6,Train
21,4,Train
22,0,Train
23,1,Train
24,5,Train
25,1,Train
26,0,Train
27,0,Train
28,5,Train
29,1,Train
30,6,Train
31,1,Train
32,7,Train
33,1,Train
34,1,Train
35,9,Train
36,1,Train
37,4,Train
38,8,Train
39,1,Train
40,0,Train
41,2,Train
42,6,Train
43,1,Train
44,0,Train
45,0,Train
46,2,Train
47,1,Train
48,2,Train
49,2,Train
50,0,Train
51,1,Train
52,2,Train
53,3,Train
54,4,Train
55,1,Train
56,6,Train
57,0,Train
58,1,Train
59,6,Train
60,1,Train
61,1,Train
62,9,Train
63,10,Train
64,6,Train
65,2,Train
66,7,Train
67,2,Train
68,11,Train
69,10,Train
70,1,Train
71,5,Train
72,0,Train
73,5,Train
74,1,Train
75,7,Train
76,0,Train
77,1,Train
78,-1,Train
79,8,Train
80,6,Train
81,2,Train
82,2,Train
83,8,Train
84,1,Train
85,2,Train
86,6,Train
87,1,Train
88,1,Train
89,0,Train
90,6,Train
91,6,Test
92,6,Test
93,6,Test
94,2,Test
95,1,Test
96,8,Test
97,17,Test
98,4,Test
99,2,Test
100,2,Test
101,6,Test
102,6,Test
103,6,Test
104,5,Test
105,2,Test
106,2,Test
107,1,Test
108,9,Test
109,5,Test
110,0,Test
111,3,Test
112,2,Test
113,0,Test
114,2,Test
115,2,Test
116,8,Test
117,2,Test
118,2,Test
119,2,Test
120,2,Test
